RELATÓRIO DE SERVIDORES IPTV - 19/01/2026 18:51
Baseado apenas nos arquivos da pasta: Listas-Downloaded
====================================================================================================
NOME DO ARQUIVO                                    | SERVIDOR BASE IDENTIFICADO
====================================================================================================
AMERICAN_-_NEW_-__New_Completo_CAdultos_[19-01-..  | http://x25.acxll.shop:80
AMERICAN_-_NEW_-__New_Completo_CAdultos_[19-01-..  | http://x25.acxll.shop:80
AMERICAN_-_NEW_-__New_Completo_SAdultos_[19-01-..  | http://x25.acxll.shop:80
AMERICAN_-_NEW_-__New_Completo_SAdultos_[19-01-..  | http://x25.acxll.shop:80
AMERICAN_-_PLAY_-__American_Play_CAdultos_[19-0..  | http://fontez.cc:80
AMERICAN_-_PLAY_-__American_Play_CAdultos_[19-0..  | http://fontez.cc:80
AMERICAN_-_PLAY_-__American_Play_SAdultos_[19-0..  | http://fontez.cc:80
AMERICAN_-_PLAY_-__American_Play_SAdultos_[19-0..  | http://fontez.cc:80
AMERICAN_-_SUPER_-__American_Super_CAdultos_[19..  | http://xui.brfontes.fun:80
AMERICAN_-_SUPER_-__American_Super_CAdultos_[19..  | http://xui.brfontes.fun:80
AMERICAN_-_SUPER_-__American_Super_SAdultos_[19..  | http://xui.brfontes.fun:80
AMERICAN_-_SUPER_-__American_Super_SAdultos_[19..  | http://xui.brfontes.fun:80
Alpha_Master_-__Teste_Completo_C_Adultos_[19-01..  | http://74.91.29.44:80
Alpha_Master_-__Teste_Completo_C_Adultos_[19-01..  | http://74.91.29.44:80
Alpha_Master_-__Teste_Completo_S_Adultos_[19-01..  | http://74.91.29.44:80
Alpha_Master_-__Teste_Completo_S_Adultos_[19-01..  | http://74.91.29.44:80
AtivaBox_-__Aladdin's_-_Teste_Completo_[19-01-2..  | http://7sevenplay10.top:80
AtivaBox_-__Aladdin's_-_Teste_Completo_[19-01-2..  | http://7sevenplay10.top:80
AtivaBox_-__Aladdin's_-_Teste_S_Adultos_[19-01-..  | http://7sevenplay10.top:80
AtivaBox_-__Aladdin's_-_Teste_S_Adultos_[19-01-..  | http://7sevenplay10.top:80
AtivaBox_-__AtivaBox_-_Teste_Completo_[19-01-20..  | http://xui.brfontes.fun:80
AtivaBox_-__AtivaBox_-_Teste_Completo_[19-01-20..  | http://xui.brfontes.fun:80
AtivaBox_-__AtivaBox_-_Teste_S_Adultos_[19-01-2..  | http://xui.brfontes.fun:80
AtivaBox_-__AtivaBox_-_Teste_S_Adultos_[19-01-2..  | http://xui.brfontes.fun:80
AtivaBox_-__Infrax_-_Teste_Completo_[19-01-2026..  | http://cloudsalex.space:80
AtivaBox_-__Infrax_-_Teste_Completo_[19-01-2026..  | http://cloudsalex.space:80
AtivaBox_-__Infrax_-_Teste_S_Adultos_[19-01-202..  | http://cloudsalex.space:80
AtivaBox_-__Infrax_-_Teste_S_Adultos_[19-01-202..  | http://cloudsalex.space:80
AtivaBox_-__Lite_PLAY_-_Teste_Completo_[19-01-2..  | http://cdn.andromedaz.site:80
