RELATÓRIO DE SERVIDORES IPTV - 18/01/2026 20:38
Baseado apenas nos arquivos da pasta: Listas-Downloaded
====================================================================================================
NOME DO ARQUIVO                                    | SERVIDOR BASE IDENTIFICADO
====================================================================================================
AMERICAN_-_NEW_-__New_Completo_CAdultos.m3u        | http://x25.acxll.shop:80
AMERICAN_-_NEW_-__New_Completo_SAdultos.m3u        | http://x25.acxll.shop:80
AMERICAN_-_PLAY_-__American_Play_CAdultos.m3u      | http://fontez.cc:80
AMERICAN_-_PLAY_-__American_Play_SAdultos.m3u      | http://fontez.cc:80
AMERICAN_-_SUPER_-__American_Super_CAdultos.m3u    | http://xui.brfontes.fun:80
AMERICAN_-_SUPER_-__American_Super_SAdultos.m3u    | http://xui.brfontes.fun:80
Alpha_Master_-__Teste_Completo_C_Adultos.m3u       | http://74.91.29.44:80
Alpha_Master_-__Teste_Completo_S_Adultos.m3u       | http://74.91.29.44:80
AtivaBox_-__Aladdin's_-_Teste_Completo.m3u         | http://7sevenplay10.top:80
AtivaBox_-__Aladdin's_-_Teste_S_Adultos.m3u        | http://7sevenplay10.top:80
AtivaBox_-__AtivaBox_-_Teste_Completo.m3u          | http://xui.brfontes.fun:80
AtivaBox_-__AtivaBox_-_Teste_S_Adultos.m3u         | http://xui.brfontes.fun:80
AtivaBox_-__Infrax_-_Teste_Completo.m3u            | http://cloudsalex.space:80
AtivaBox_-__Infrax_-_Teste_S_Adultos.m3u           | http://cloudsalex.space:80
AtivaBox_-__Lite_PLAY_-_Teste_Completo.m3u         | http://cdn.andromedaz.site:80
AtivaBox_-__Lite_PLAY_-_Teste_S_Adultos.m3u        | http://cdn.andromedaz.site:80
AtivaBox_-__NetTurbo_-_Teste_Completo.m3u          | http://fontez.cc:80
AtivaBox_-__NetTurbo_-_Teste_S_Adultos.m3u         | http://fontez.cc:80
Azonix_-__INFINITY_-_Teste_De_24_Horas_Com_Adul..  | https://wpls.shop:443
Azonix_-__INFINITY_-_Teste_De_24_Horas_Sem_Adul..  | https://wpls.shop:443
Azonix_-__PLAY_-_Teste_De_24_Horas_Com_Adulto.m..  | http://proxyphtop.shop:80
Azonix_-__PLAY_-_Teste_De_24_Horas_Sem_Adulto.m..  | http://proxyphtop.shop:80
Azonix_-__SUPREME_-_Teste_De_24_Horas_Com_Adult..  | http://top.gpsrv.shop:80
Azonix_-__SUPREME_-_Teste_De_24_Horas_Sem_Adult..  | http://top.gpsrv.shop:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Adultos.m3u    | http://fontez.cc:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Internacion..  | http://fontez.cc:80
CineFlix_-_1_NET-ONE_-_Teste_IPTV_S_Adultos.m3u    | http://fontez.cc:80
CineFlix_-__Cine_BR_-_Teste_IPTV_C_Adultos.m3u     | http://cdn.andromedaz.site:80
CineFlix_-__Cine_BR_-_Teste_IPTV_S_Adultos.m3u     | http://cdn.andromedaz.site:80
CineFlix_-__Cine_RAIO_-_Teste_IPTV_C_Adultos.m3..  | http://srv3.site:80
CineFlix_-__Cine_RAIO_-_Teste_IPTV_S_Adultos.m3..  | http://srv3.site:80
CineFlix_-__Cine_Z_-_Teste_IPTV_C_Adultos.m3u      | http://cloudsalex.space:80
CineFlix_-__Cine_Z_-_Teste_IPTV_S_Adultos.m3u      | http://cloudsalex.space:80
CineFlix_-__RYZEN_-_Teste_IPTV_C_Adultos.m3u       | http://38.147.106.155:80
CineFlix_-__RYZEN_-_Teste_IPTV_S_Adultos.m3u       | http://38.147.106.155:80
CineFlix_-__SH-SERVER_-_Teste_C_Adultos.m3u        | http://sxhs.cgpsx.site:80
CineFlix_-__SH-SERVER_-_Teste_S_Adultos.m3u        | http://sxhs.cgpsx.site:80
CineFlix_-__Thunder_PLAY_-_Teste_C_Adultos.m3u     | http://xxx.pxlst.site:80
CineFlix_-__Thunder_PLAY_-_Teste_S_Adultos.m3u     | http://xxx.pxlst.site:80
CineFlix_-__VOLTZ_-_Teste_C_Adultos.m3u            | http://wpm.dcnn.site:80
CineFlix_-__VOLTZ_-_Teste_S_Adultos.m3u            | http://wpm.dcnn.site:80
CineFlix_-__WAVE_-_Teste_IPTV_C_Adultos.m3u        | http://x25.acxll.shop:80
CineFlix_-__WAVE_-_Teste_IPTV_S_Adultos.m3u        | http://x25.acxll.shop:80
CineMania_-__Completo_Com_Adultos.m3u              | http://dns.blessed7.xyz:80
CineMania_-__Completo_Sem_Adultos.m3u              | http://dns.blessed7.xyz:80
EVOLUTION_-_BOX_-__Teste_Completo_CAdultos.m3u     | http://c.superodin.nl70.top:80
EVOLUTION_-_BOX_-__Teste_Completo_SAdultos.m3u     | http://c.superodin.nl70.top:80
EVOLUTION_-_EVO_PRIME_-__Teste_+18.m3u             | ⚠️ Nenhum link encontrado
EVOLUTION_-_EVO_PRIME_-__Teste_-18.m3u             | http://cdn.andromedaz.site:80
GLOBAL__IPTV_1_-_TESTE_1HR__COMPLETO.m3u           | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_1HR__SEM_ADULTOS.m3u        | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_3HRS__COMPLETO.m3u          | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_3HRS__SEM_ADULTOS.m3u       | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_6HRS__COMPLETO.m3u          | http://cdnp.xyz:80
GLOBAL__IPTV_1_-_TESTE_6HRS__SEM_ADULTOS.m3u       | http://cdnp.xyz:80
GLOBAL__IPTV_2_-_TESTE_1HR__COMPLETO.m3u           | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_1HR__SEM_ADULTOS.m3u        | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_3HRS__COMPLETO.m3u          | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_3HRS__SEM_ADULTOS.m3u       | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_6HRS__COMPLETO.m3u          | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS.m3u       | http://protec.sbs:80
GLOBAL__IPTV_3_-_TESTE_1HR__COMPLETO.m3u           | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_1HR__SEM_ADULTOS.m3u        | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_3HRS__COMPLETO.m3u          | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_3HRS__SEM_ADULTOS.m3u       | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_6HRS__COMPLETO.m3u          | http://topcdn.fun:80
GLOBAL__IPTV_3_-_TESTE_6HRS__SEM_ADULTOS.m3u       | http://topcdn.fun:80
GLOBAL__IPTV_4_-_TESTE_1HR__COMPLETO.m3u           | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_1HR__SEM_ADULTOS.m3u        | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_3HRS__COMPLETO.m3u          | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_3HRS__SEM_ADULTOS.m3u       | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_6HRS__COMPLETO.m3u          | http://x25.acxll.shop:80
GLOBAL__IPTV_4_-_TESTE_6HRS__SEM_ADULTOS.m3u       | http://x25.acxll.shop:80
HAVOK_TV_-_ANDROMEDA_-__[Teste_04h]_-_Andromeda..  | http://tigeragile.uk:80
HAVOK_TV_-_DIGNUS_-__[Teste_04h]_-_Dignus.m3u      | http://cloudsalex.space:80
HAVOK_TV_-_FNIX_-__[Teste_04h]_-_Fnix.m3u          | http://c.superodin.nl70.top:80
HAVOK_TV_-_KLAUS_-__[Teste_04h]_-_Klaus.m3u        | http://xui.brfontes.fun:80
HAVOK_TV_-_KYROS_-__[Teste_04h]_-_Kyros.m3u        | http://cloudsalex.space:80
HAVOK_TV_-_MAGNUS_-__[Teste_6h]_-_Magnus.m3u       | http://sxhs.cgpsx.site:80
HAVOK_TV_-_NEON_-__[Teste_6h]_-_Neon.m3u           | http://lbgthost.shop:80
