============================================================
          RELATÓRIO DE SÉRIES: TEMPORADAS E EPISÓDIOS
 Termo: town doctor
 Data:  15/01/2026 17:46:50
============================================================

📊 RESUMO DE ATUALIZAÇÕES (POR SERVIDOR):
 > [SERVER: -_TESTE_COMPLETO_-_SMART_TVS_(_LG__SAMSUNG__ROKU_).m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: -_TESTE_COMPLETO_COM_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: -_TESTE_COMPLETO_SEM_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Alpha_Master_-__Teste_Completo_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Alpha_Master_-__Teste_Completo_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AMERICAN_-_NEW_-__New_Completo_CAdultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: AMERICAN_-_NEW_-__New_Completo_SAdultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: AMERICAN_-_PLAY_-__American_Play_CAdultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AMERICAN_-_PLAY_-__American_Play_SAdultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AMERICAN_-_SUPER_-__American_Super_CAdultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AMERICAN_-_SUPER_-__American_Super_SAdultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AtivaBox_-__Aladdin's_-_Teste_Completo.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AtivaBox_-__Aladdin's_-_Teste_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AtivaBox_-__AtivaBox_-_Teste_Completo.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AtivaBox_-__AtivaBox_-_Teste_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AtivaBox_-__Infrax_-_Teste_Completo.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AtivaBox_-__Infrax_-_Teste_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AtivaBox_-__Lite_PLAY_-_Teste_Completo.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AtivaBox_-__Lite_PLAY_-_Teste_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AtivaBox_-__NetTurbo_-_Teste_Completo.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: AtivaBox_-__NetTurbo_-_Teste_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Azonix_-__INFINITY_-_Teste_De_24_Horas_Com_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Azonix_-__PLAY_-_Teste_De_24_Horas_Com_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Azonix_-__PLAY_-_Teste_De_24_Horas_Sem_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Azonix_-__SUPREME_-_Teste_De_24_Horas_Com_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Azonix_-__SUPREME_-_Teste_De_24_Horas_Sem_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Internacionais_+18.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineFlix_-_1_NET-ONE_-_Teste_IPTV_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineFlix_-__Cine_BR_-_Teste_IPTV_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineFlix_-__Cine_BR_-_Teste_IPTV_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineFlix_-__Cine_RAIO_-_Teste_IPTV_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineFlix_-__Cine_RAIO_-_Teste_IPTV_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineFlix_-__Cine_Z_-_Teste_IPTV_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineFlix_-__Cine_Z_-_Teste_IPTV_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineFlix_-__RYZEN_-_Teste_IPTV_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
