
============================================================
📁 ARQUIVO: BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[19-01-2026_00h45].m3u
📅 DATA: 19/01/2026 00:45
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 338030 itens.

============================================================
📁 ARQUIVO: BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[19-01-2026_18h27].m3u
📅 DATA: 19/01/2026 18:27
------------------------------------------------------------
🟢 ENTRARAM (1089):
   + [▶️ Filmes | Disney] Táxi  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Filmes | Documentário] Três Estranhos Idênticos  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Filmes | Looke] Coracao de Fogo  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Filmes | Looke] O Melhor do Mundo  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Filmes | Looke] O Voo da Fênix  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Filmes | Netflix] Campeonato dos Sonhos  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Filmes | Prime Video] Abominável  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Filmes | Prime Video] Amor Bandido  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Filmes | Prime Video] E tempo de amar  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Filmes | Prime Video] Lola  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Filmes | Prime Video] O Ultimo Dragao  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Filmes | Prime Video] Sem Saída  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E01  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E02  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E03  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E04  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E05  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E06  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E07  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E08  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E09  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E10  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E100  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E101  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E102  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E103  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E104  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E105  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E106  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E107  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E108  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E109  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E11  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E110  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E111  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E112  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E113  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E114  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E115  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E116  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E117  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E118  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E119  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E12  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E120  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E121  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E122  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E123  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E124  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E125  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E126  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E127  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E128  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E129  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E13  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E130  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E131  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E132  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E133  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E134  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E135  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E136  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E137  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E138  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E139  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E14  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E140  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E141  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E142  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E143  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E144  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E145  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E146  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E147  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E148  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E149  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E15  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E150  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E151  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E152  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E153  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E154  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E155  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E156  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E157  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E158  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E159  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E16  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E160  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E161  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E162  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E163  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E164  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E165  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E166  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E167  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E168  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E169  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E17  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E170  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E171  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E172  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E173  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E174  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E175  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E176  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E177  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E178  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E179  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E18  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E19  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E20  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E21  | (1ª vez: 19/01/2026 18:27)
