
============================================================
📁 ARQUIVO: CYBER_-__4H_TESTE_COMPLETO_CADULTO_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 306614 itens.

============================================================
📁 ARQUIVO: CYBER_-__4H_TESTE_COMPLETO_CADULTO_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (856):
   + [♠️Filmes | Aventura] O Aprendiz de Feiticeiro (2010) (2010)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Aventura] Uma Aventura Animal: A Jornada para Casa (2021)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Ação] temporada de Sangue (2025)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Comédia] Um Caso do Outro Mundo (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Crime] Segredos de uma Golpista (2021)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Documentários] Wizkid: De Lagos Para o Mundo (2025)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Drama] A Corrida dos 100 Metros (2025)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Drama] Grávida e Perseguida (2020)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Drama] O Caso Belle Steiner (2025)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Drama] Um Homem de Sucesso (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Família] PAPAI X DOIS (2025)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Fantasia] Wicked: Parte 2 (2025)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Ficção] Distrito 9 (2009)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Guerra] A Sombra do Comandante (2024)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Romance] Enquanto o Amor Durar (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Romance] O Filho do Confeiteiro (2021)  | (1ª vez: 20/01/2026 17:32)
   + [♠️Filmes | Terror] O Olho (2023)  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Amazon Prime Video] Sweetpea (2024) S01E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Amazon Prime Video] Sweetpea (2024) S01E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Amazon Prime Video] Sweetpea (2024) S01E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Amazon Prime Video] Sweetpea (2024) S01E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Amazon Prime Video] Sweetpea (2024) S01E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Amazon Prime Video] Sweetpea (2024) S01E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E09  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E10  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E11  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E12  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Crunchyroll] Made in Abyss [L] (2017) S01E13  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Alasca: A Última Fronteira (2011) S01E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Alasca: A Última Fronteira (2011) S01E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Alasca: A Última Fronteira (2011) S01E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Alasca: A Última Fronteira (2011) S01E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Alasca: A Última Fronteira (2011) S01E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Alasca: A Última Fronteira (2011) S01E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Alasca: A Última Fronteira (2011) S01E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Alasca: A Última Fronteira (2011) S01E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Alasca: A Última Fronteira (2011) S01E09  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Alasca: A Última Fronteira (2011) S01E10  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Alasca: A Última Fronteira (2011) S01E11  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E09  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] American Sports Story (2024) S01E10  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S01E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S02E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E01  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E02  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E03  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E04  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E05  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E06  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E07  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E08  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E09  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E10  | (1ª vez: 20/01/2026 17:32)
   + [♣️Séries | Discovery Plus] Construções no Alasca (2012) S03E11  | (1ª vez: 20/01/2026 17:32)
