
============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 337311 itens.

============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (697):
   + [▶️ Filmes | Comédia] O Prazer de sua Companhia  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Filmes | Crimes] Barra Pesada  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Filmes | Crimes] Conta Comigo  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Filmes | Crimes] Propriedade do Estado  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Filmes | Drama] Inferno na Ilha  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Filmes | Drama] Vermiglio A Noiva da Montanha  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Filmes | Lancamentos 2026] De Férias com Você (2026)  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Filmes | Lancamentos 2026] Dinheiro Suspeito (2026)  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Filmes | Legendado] A Sombra do Perigo (LEG)  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Filmes | Legendado] Guerra ao Cartel (LEG)  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Filmes | Qualidade Cinema] Bob Esponja Em Busca da Calca Quadrada (CINEMA)  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Filmes | Terror] Apostolo  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S01E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S01E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S01E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S01E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S01E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S01E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S01E07  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S01E08  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S01E09  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S01E10  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E07  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E08  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E09  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E10  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E11  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E12  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E13  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E14  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E15  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E16  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E17  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S02E18  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E07  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E08  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E09  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E10  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E11  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E12  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S03E13  | (1ª vez: 20/01/2026 17:32)
