
============================================================
📁 ARQUIVO: GLOBAL__IPTV_3__-__TESTE_3HRS__COMPLETO_[19-01-2026_22h19].m3u
📅 DATA: 19/01/2026 22:19
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 351389 itens.

============================================================
📁 ARQUIVO: GLOBAL__IPTV_3__-__TESTE_3HRS__COMPLETO_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (62):
   + [◾ Filmes | Animação] Yu-Gi-Oh! Vínculos Além Do Tempo  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Comédia] O Prazer de sua Companhia  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Crime] Barra Pesada  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Crime] Propriedade do Estado  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Drama] Inferno na Ilha  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Drama] Vermiglio A Noiva da Montanha  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Legendado] A Sombra do Perigo (LEG)  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Legendado] Guerra ao Cartel (LEG)  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Legendado] Hora do Massacre [L]  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Legendado] Judas E O Messias Negro [L]  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Legendado] Terror No Estúdio 666 [L]  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Legendado] Water And Fire [L]  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Legendado] Zumbilandia [L]  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Looke] Loucos Por Dinheiro  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Looke] O Voo da Fênix  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Música] O Natal Extraordinário De Zoey  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Netflix] Campeonato dos Sonhos (2023)  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Netflix] O Melhor do Mundo  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Netflix] Três Estranhos Idênticos (2018)  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Prime Video] Amor Bandido (2025)  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Prime Video] Contra O Tempo (2003)  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Prime Video] E tempo de amar (2021)  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Prime Video] Esquadrão Suicida (2021)  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Prime Video] Lola  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Prime Video] O Ultimo Dragao  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Qualidade Cinema] Bob Esponja Em Busca da Calca Quadrada (CINEMA)  | (1ª vez: 20/01/2026 17:32)
   + [◾ Filmes | Terror] Apostolo  | (1ª vez: 20/01/2026 17:32)
