
============================================================
📁 ARQUIVO: LIFE_UHD_-_ARES_PLAY_-__ARES_PLAY_TESTE_-_CADULTOS_[20-01-2026_06h40].m3u
📅 DATA: 20/01/2026 06:40
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 388530 itens.

============================================================
📁 ARQUIVO: LIFE_UHD_-_ARES_PLAY_-__ARES_PLAY_TESTE_-_CADULTOS_[21-01-2026_00h23].m3u
📅 DATA: 21/01/2026 00:23
------------------------------------------------------------
🟢 ENTRARAM (235):
   + [Sem Categoria] (  4K  )⚽ Real Madrid x Monaco ⏰ 17:00  TNT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] (4K) ⚽ Novorizontino x Palmeiras ⏰ 20:00 HBO MAX  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] (4K)⚽ Bodo/Glimt x Manchester City ⏰ 14:45  TNT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] (FHD) ⚽ Bodo/Glimt x Manchester City ⏰ 14:45  TNT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] (FHD) ⚽ Novorizontino x Palmeiras ⏰ 20:00 HBO MAX  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] (FHD)⚽ Real Madrid x Monaco ⏰ 17:00  TNT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] (HD) ⚽ Novorizontino x Palmeiras ⏰ 20:00 HBO MAX  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] (HD)⚽ Bodo/Glimt x Manchester City ⏰ 14:45  TNT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] (HD)⚽ Real Madrid x Monaco ⏰ 17:00  TNT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] (SD) ⚽ Novorizontino x Palmeiras ⏰ 20:00 HBO MAX  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] (SD)⚽ Bodo/Glimt x Manchester City ⏰ 14:45  TNT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] (SD)⚽ Real Madrid x Monaco ⏰ 17:00  TNT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Apple TV 01  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Apple TV 02  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas Carnaval 2020  | (1ª vez: 21/01/2026 00:23)
