
============================================================
📁 ARQUIVO: Lider_-__LITE_-_Completo_Com_Adultos_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 350156 itens.

============================================================
📁 ARQUIVO: Lider_-__LITE_-_Completo_Com_Adultos_[20-01-2026_23h42].m3u
📅 DATA: 20/01/2026 23:42
------------------------------------------------------------
🟢 ENTRARAM (37):
   + [✅️ PEDIDOS] Avatar: Fogo e Cinzas (2025)  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Avatar: Fogo e Cinzas [CINEMA] (2025)  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S01E01  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S01E02  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S01E03  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S01E04  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S01E05  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S01E06  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S01E07  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S01E08  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S01E09  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S01E10  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S02E01  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S02E02  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S02E03  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S02E04  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S02E05  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S02E06  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S02E07  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S02E08  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S02E09  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S02E10  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S03E01  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S03E02  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S03E03  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S03E04  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S03E05  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S03E06  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S03E07  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S03E08  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S03E09  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Star Trek: Strange New Worlds S03E10  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Terra de Pecados S01E01  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Terra de Pecados S01E02  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Terra de Pecados S01E03  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Terra de Pecados S01E04  | (1ª vez: 20/01/2026 23:42)
   + [✅️ PEDIDOS] Terra de Pecados S01E05  | (1ª vez: 20/01/2026 23:42)
