
============================================================
📁 ARQUIVO: Lider_-__LITE_-_Completo_Sem_Adultos_[19-01-2026_01h12].m3u
📅 DATA: 19/01/2026 01:12
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 329669 itens.

============================================================
📁 ARQUIVO: Lider_-__LITE_-_Completo_Sem_Adultos_[19-01-2026_07h14].m3u
📅 DATA: 19/01/2026 07:14
------------------------------------------------------------
✅ SEM MUDANÇAS NA GRADE.

============================================================
📁 ARQUIVO: Lider_-__LITE_-_Completo_Sem_Adultos_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
🟢 ENTRARAM (110):
   + [✅️ PEDIDOS] Fallout (2024) S02E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S01E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S01E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S01E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S01E04  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S01E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S01E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S01E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S01E08  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S02E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S02E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S02E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S02E04  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S02E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S02E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S02E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S02E08  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S03E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S03E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S03E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S03E04  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S03E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S03E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S03E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Industry (2020) S03E08  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] O Agente Secreto [CAM] (2025)  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] O Cavaleiro dos Sete Reinos (2026) S01E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Percy Jackson e os Olimpianos (2023) S02E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Percy Jackson e os Olimpianos (2023) S02E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Pluribus S01E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Pluribus S01E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Pluribus S01E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Pluribus S01E04  | (1ª vez: 19/01/2026 21:06)
