
============================================================
📁 ARQUIVO: TOP_Z_-_COMPLETO_SEM_ADULTOS_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 320464 itens.

============================================================
📁 ARQUIVO: TOP_Z_-_COMPLETO_SEM_ADULTOS_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (15615):
   + [♦️ Animacao ✔️] 100% Lobo (2020)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] 101 Dálmatas (1961)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Abelha Maya: O Filme (2014)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Abelhinha Maya: O Filme (2018)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Bailarina (2016)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Caminho da Lua (2020)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Casa Monstro (2006)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Charlie Brown Celebration (1982)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Dama e o Vagabundo (1955)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Dança dos Esqueletos (1929)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Elefanta do Mágico (2023)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Era do Gelo (2002)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Era do Gelo 2 (2006)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Era do Gelo 3 (2009)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Era do Gelo 4 (2012)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Era do Gelo: As Aventuras de Buck (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Era do Gelo: O Big Bang (2016)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Espada Mágica: A Lenda de Camelot (1998)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Fada do Dente (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Família Mitchell e a Revolta das Máquinas (2021)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Família do Futuro (2007)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Fera do Mar (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Fuga das Galinhas (2000)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Fuga das Galinhas: A Ameaça dos Nuggets (2023)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Ganha-Pão (2017)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Guarda do Leão: Um Novo Rugido (2016)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Guerra dos Deuses (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A História de Nessie (2011)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Ideia Mais Magnífica do Mundo (2019)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Incrível História da Pera Gigante (2017)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Lenda da Serpente (2019)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Lenda de Beowulf (2007)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Lenda do Pato Sol (2016)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Lenda dos Guardiões (2010)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Liga de Monstros (2021)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Lua (2012)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Morte do Superman (2007)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Noiva Cadáver (2005)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Nova Onda do Imperador (2000)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Origem dos Guardiões (2012)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Pequena Sereia - Um Oceano de Aventuras (2023)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Pequena Sereia II: O Retorno para o Mar (2000)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Pequena Sereia: A História de Ariel (2008)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Primavera Espetacular de Moranguinho (2024)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Princesa Encantada: Era Uma Vez… (2023)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Princesa e o Dragão (2018)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Princesa e o Sapo (2009)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Sabiá Sabiazinha (2021)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Travessia (2021)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Turma do Bairro - Operação Z.E.R.O. (2006)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Viagem Encantada (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Viagem de Chihiro (2001)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Viagem de Ernesto e Celestine (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Vida Moderna de Rocko: Volta ao Lar (2019)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] A Árvore dos Desejos (2020)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Agente 00-Gato (2019)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Agente das Sombras (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Agentes Selvagens (2020)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Agência Secreta de Controle de Magias (2021)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Ainbo: A Guerreira da Amazônia (2021)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Akira (1988)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Altamente Imperfeitos (2019)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Alvin e os Esquilos 3 (2011)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Além da Lenda - O Filme (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Além do Céu (2020)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Anastasia (1997)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Ancien e o Mundo Mágico (2017)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Angry Birds 2: O Filme (2019)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Angry Birds: O Filme (2016)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Animais em Apuros (2018)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Animatrix (2003)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Apollo 10 e Meio: Aventura na Era Espacial (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Aqua Teen Forever: Plantasm (2022)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Aqui Estamos Nós: notas sobre como viver no planeta Terra (2020)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Arca de Noé (2024)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Arctic Dogs (2019)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Aristogatas (1970)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] Arthur e a Guerra dos Dois Mundos (2010)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] As Aventuras de Fujiwara Manchester: O Filme (2019)  | (1ª vez: 20/01/2026 17:32)
   + [♦️ Animacao ✔️] As Aventuras de Gulliver (2021)  | (1ª vez: 20/01/2026 17:32)
