RELATÓRIO DE SERVIDORES - 22/01/2026 21:21
====================================================================================================
NOME DO ARQUIVO                                         | SERVIDOR BASE
====================================================================================================
7_Odin_-_7seven_-_7seven_+18_[21-01-2026_00h23].m3u     | http://7sevenplay10.top:80
7_Odin_-_7seven_-_7seven_-18_[21-01-2026_00h23].m3u     | http://7sevenplay10.top:80
AMERICAN_-_NEW_-__New_Completo_CAdultos_[21-01-2026_..  | http://x25.acxll.shop:80
AMERICAN_-_NEW_-__New_Completo_CAdultos_[22-01-2026_..  | http://x25.acxll.shop:80
AMERICAN_-_NEW_-__New_Completo_SAdultos_[21-01-2026_..  | http://x25.acxll.shop:80
AMERICAN_-_NEW_-__New_Completo_SAdultos_[22-01-2026_..  | http://x25.acxll.shop:80
AMERICAN_-_PLAY_-__American_Play_CAdultos_[20-01-202..  | http://fontez.cc:80
AMERICAN_-_PLAY_-__American_Play_CAdultos_[22-01-202..  | http://fontez.cc:80
AMERICAN_-_PLAY_-__American_Play_SAdultos_[21-01-202..  | http://fontez.cc:80
AMERICAN_-_PLAY_-__American_Play_SAdultos_[22-01-202..  | http://fontez.cc:80
AMERICAN_-_SUPER_-__American_Super_CAdultos_[21-01-2..  | http://xui.brfontes.fun:80
AMERICAN_-_SUPER_-__American_Super_SAdultos_[21-01-2..  | http://xui.brfontes.fun:80
Alpha_Master_-__Teste_Completo_C_Adultos_[21-01-2026..  | http://74.91.29.44:80
Alpha_Master_-__Teste_Completo_C_Adultos_[22-01-2026..  | http://74.91.29.44:80
Alpha_Master_-__Teste_Completo_S_Adultos_[20-01-2026..  | http://74.91.29.44:80
Alpha_Master_-__Teste_Completo_S_Adultos_[22-01-2026..  | http://74.91.29.44:80
AtivaBox_-__Aladdin's_-_Teste_Completo_[20-01-2026_1..  | http://7sevenplay10.top:80
AtivaBox_-__Aladdin's_-_Teste_Completo_[22-01-2026_2..  | http://7sevenplay10.top:80
AtivaBox_-__Aladdin's_-_Teste_S_Adultos_[21-01-2026_..  | http://7sevenplay10.top:80
AtivaBox_-__Aladdin's_-_Teste_S_Adultos_[22-01-2026_..  | http://7sevenplay10.top:80
AtivaBox_-__AtivaBox_-_Teste_Completo_[21-01-2026_07..  | http://xui.brfontes.fun:80
AtivaBox_-__AtivaBox_-_Teste_S_Adultos_[21-01-2026_0..  | http://xui.brfontes.fun:80
AtivaBox_-__AtivaBox_-_Teste_S_Adultos_[22-01-2026_2..  | http://83km.sbs:80
AtivaBox_-__Infrax_-_Teste_Completo_[21-01-2026_07h3..  | http://cloudsalex.space:80
AtivaBox_-__Infrax_-_Teste_Completo_[22-01-2026_20h4..  | http://cloudsalex.space:80
AtivaBox_-__Infrax_-_Teste_S_Adultos_[21-01-2026_07h..  | http://cloudsalex.space:80
AtivaBox_-__Infrax_-_Teste_S_Adultos_[22-01-2026_20h..  | http://cloudsalex.space:80
AtivaBox_-__Lite_PLAY_-_Teste_Completo_[21-01-2026_0..  | http://cdn.andromedaz.site:80
AtivaBox_-__Lite_PLAY_-_Teste_Completo_[22-01-2026_2..  | http://cdn.andromedaz.site:80
AtivaBox_-__Lite_PLAY_-_Teste_S_Adultos_[21-01-2026_..  | http://cdn.andromedaz.site:80
AtivaBox_-__Lite_PLAY_-_Teste_S_Adultos_[22-01-2026_..  | http://cdn.andromedaz.site:80
